SP1YKG0D24SG1TKQAXCKR5B1HTZ5RVCATTM2ZJK0R;170;501
SP151AZ30XEB4KHZTBD1BXS375PRYYTAZK3AG229T;100;233.316527
SP1VV0X7M75EY32K81TADWZX872JBZPH20TD2MYG8;110;51.042977
SP12BEM8YE4F3G5PZ1Z8TB0QZJQREBBP4R8JYGS42;110;228
SP146Q72RYHF90QNZAG02AE4HFM2GJ8PF6JGWZ258;7500;19500
SP1Q4H4T2ZWVQKW5NZDYX59GV9PNWQJHZYXR8TXPC;230;1263.761874
SPBCJ0510WV9BJY4E7R3KPMQ8ZQFT1WQFBPPATCJ;200;240.804134
SP1FXCKY6E03H7HYKWX8Z0DGJ54YDK5CQH1EDSAJM;100;10000
SPWNY5H54H245VEVAA54GMX0PE55MH0EFSES1GHV;101;1701.373169
SP2ZMSSCQP6MP7SG38FH2J9MZF8JZXY8K3JQ2M3S;101;203.077298
SP7RHAGSV5K6BQSNFZ79HVCAYVYP84DJHHVPXTQA;1000;1890.981195
SPR9HWDFCFSTGEA57R5YT830ZQEGRZQP208WYYX4;100;100
SPSSBCHRPNEKJ2DV5YAZMPRKDHDS657Q8XYK6QYK;1000;10020.056619
SP17BFG7Z0TBC9KETCCW3H2F31K3V7DA6KYDT1138;218;1018
SP7NNFSTEVPMDS8NKRGFRTEQ79DMW8BJ98A20D50;180;328.183478
SP156BGYW39ACVKBAM2SKXRD7FZTPP80F3Y75HQZK;180.87;31.02269
SP10YND8NH9R6C3ZPJZ8BH9QR2BF1FSFE9XRE3AY0;300;403
SP3W52FFFV8Y1589SF5K9E9D4TE6KKWW5VMREZ0N4;100;2481.435493
SPMYAJ5346DV29VMQPH8JWQWGK3VT0KNXZSAGEX9;300;1198.773312
SP33Q4PS1KA9AY10BHF7SKYM0T380N1J0RPV1DYW5;230;1909.815138
SP20YWJT8AYW6YGVT3WA3VMT833HE86NSF9P32QWN;250;590
SP1TEYCYCYEZ4NBCZ3Q85479456XJ8XXZDV2DXX7R;101;1097.920166
SP1JHFMQT89KA2AF31EHAFJWJG1S7N9GGZF4P1128;101;897.506439
SP2KB74BAX0NAZAQ63VQ4QK7ASC48ESE3D5BV1B17;264.75;513.63
SP236BC8GENYXZYDT2R7905F9871VBNKCH28QM079;151.86;154.86
SP1QC6MZXCPG253X0FVVSRZA9HWCYBW913Y38N1A3;100;129.01514
SP3AMA0SVFJKQWSBJ1A3CRHNJWDHH85JC4M7H1TX1;101;401
SP2WAXE91Y43JHS0RWJQHN38YME81C5K2TFD5TZS4;148;203
SPP63TKK73CVQM3PCJ6D0NXTQGPNK9DKTF0FQAP2;1000;15991.5
SP3N08JFC0WVYZB2XQS7M8F662P0FZXQ2NV4HKHBY;103;865
SP35GXA8DH38KM8TBT7XP30CTVAEJ229JW7J8VP97;639.07;109.33
SP37X7A32WWTGNNKGZRSR4D4SANDQSSCWN4674WWA;170;378.864381
SP5K34B6RZ1JYZT7FJH3DSA55KTFA4GXFT1Q1RYZ;125.36;185.36
SP1FC8NQ5KDGRJ2WMZ8KV7H6N5KBFV49EFXHM1V87;110;4610
SP14G080R1D0DS34FYJ2P2CMKNFBB0ZQNR7EBSPNS;400;570
SP2FY8MV3EZVRTG2Q9J1KMMRVKC86DQ00BGGCQJXQ;10039.18;18079.583141
SP380ANQR0PHRGXQWHN7CYMKC8KSJS2MDBZA4EE7S;500;1200
SP7XZVVXFFHMMTWZ8WNNKNY0TSHM5FQVJDT707CV;100;475.617234
SP2D5VBVAND9PFJXF32W47Y4PVM8WQZ5PWZT9Y4JX;113.79;299.73
SP1E8A3T3AW2HRFB5FXMYWB2DC0TSC6H1EGTHND1W;800;1200.251802
SP59CQXM6MZ3KPT6HZTJWB2RP2R7F7V006WQBS2K;100;15000
SPW0CHYR5S4J0DM03ACH2PH9ZHPFJ776Z1EQBPSV;100;5169.360876
SP23RH9RWKKQK83XC928WGAXYR2QKPQTBKC7FMWQC;101;157
SP35JT1NWPP3M2PEPT72SWKDA6PQBBEXE32RJPWEM;112;1777.155655
SP1KMKDBKERKEGVQDNNNR1VQCVFGJ7G721R6MD0DA;105;430.803438
SP34455SJ4NJ7MCKV7CN64JJTVDP3VZPMVT54BH57;301;2101
SP19299R5AAYRE7P21ERZYTRV9V0R13YT4X2RZA6V;107.45;2191.45
SPZZMZ589FTQM93PEZN8CGRGH3RTHYM4BQ2JB25Z;142.28;234.619683
SP1X2CGRBCC65ASCESX4JH8B8HJ7Q908QM72E8X5H;100;124.25
SP31M3T07PWKDSQ3ZE6WBG4ZS85KFP068R0KKKQNW;149;146
SP32ZHW402ZC9CJJY147WA7C52R669WF0SP8SK5SV;115;121
SP1FK5BHM3P0325JSZWWZE2NS8CBMJFQPQ0F38Q8Z;101;602.516339
SP1KV0HCQG4RY2NV0FR848EEMZX16CE990D91MQGE;119;101
SPJ5J00QMD0C8784DTRK234EXJKYN0FZ8FQJFKA0;101;500.098008
SPATWT835C0WS9H6JXV4A3CBW397ZYJCK1B1SNZT;6606;9943.31
SP28ZTJS8Q58ERK8MDNFGQA85CHQRP4SYH85B95SG;500;1000
SP2Q1ZXVTXGXP0TPQG1D367NHF3BN89KJW26X1DG5;500;1500
SP3EHE5HJF90NFTEZGWEE9HWZ8SDFF6KXRNNBT52Z;195.2;545.2
SP3J0Z8YSJD20TGEBE6M992CWFDG18VB0PR599VY9;1000;2979.312428
SP3SF0PSD7KYVJQPKKRBYJFF7NENGFHZSBVHM3B27;101;798.412299
SP24Z7C1VBBEQ8Y988E6CCR42MW8F7D37BVKK01TA;500;830.575822
SP19C86XC505G87MYM33FCA0Y0BJV8SS64KKDPC8S;201;1201
SPWWECQWKS6K3NMFWE2VB6QEX7F2609D5MFYGAWZ;101;302.142581
SP2QFT5WS6VF31CZTP00N2H7NSDS086GSDNA8YCFS;1000;2976.531363
SP3ATPYJHSG4C9H48RWGXJN913QSY8KZ09KSD88GS;3000;5000
SP6191XKYQGP0BTPXQMHZSCND6Y401YT2SYYJWXX;101;100.239486
SP1YWSM685B3JHABECKG7291CXPYBMNFBGBY87475;105;130
SP1WVR833Q3RKM69KTRJNHWXNTZZ37592Q99XMY13;105;255
SP1H8KEEAN0M4EB3BWWR8GZ9NJZS6YP4AN157G75X;105;115
SP1K5E2VZS92VHK7JZPMABQQXVJ4GA465JACF2ACM;105;125
SP3857MVW0QQ5BFC2WG05NNQ9CAA7WRG5W0HAKQWM;133.25;851.25
SPMA0EH4FZGPA1FJBQXJREE22CBKYCBBVH8M55TV;350;450
SPGBCFBM23GXYBDN6VB21DM00MJP5R0Y6VEP8GPE;636;2386
